======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/05/19 04:05:31 16.36  0.472    394   0.23  16.060   3.750  7.89   -69.0   138.1   7.5   1.8    13.2
10/05/19 04:35:31 16.32  0.472    394   0.23  16.059   3.749  7.88   -68.7   138.7   4.6   1.1    13.2
10/05/19 05:05:31 16.29  0.472    394   0.23  16.060   3.750  7.90   -69.6   131.2   5.1   1.2    13.2
10/05/19 05:35:31 16.23  0.472    393   0.23  16.064   3.760  7.88   -68.7   137.4   6.4   1.5    13.3
10/05/19 06:05:31 16.20  0.472    393   0.23  16.064   3.760  7.88   -68.7   137.1   6.3   1.5    13.1
10/05/19 06:35:31 16.17  0.472    393   0.23  16.064   3.761  7.88   -68.5   138.8   6.0   1.4    13.2
10/05/19 07:05:31 16.11  0.472    392   0.23  16.064   3.759  7.90   -69.6   131.2   6.7   1.6    13.2
10/05/19 07:35:31 16.07  0.472    392   0.23  16.064   3.760  7.88   -68.6   137.8   8.3   2.0    13.2
10/05/19 08:05:31 16.04  0.472    391   0.23  16.069   3.773  7.88   -68.6   137.5   6.2   1.5    13.2
10/05/19 08:35:31 16.01  0.472    391   0.23  16.067   3.767  7.89   -69.0   136.2   7.9   1.9    13.2
10/05/19 09:05:31 16.01  0.472    391   0.23  16.066   3.764  7.89   -68.9   137.4   9.9   2.3    13.1
10/05/19 09:35:31 16.01  0.472    391   0.23  16.065   3.763  7.89   -69.1   137.0   5.9   1.4    13.2
10/05/19 10:05:31 16.05  0.472    392   0.23  16.064   3.759  7.89   -69.2   137.6   9.9   2.3    13.2
10/05/19 10:35:31 16.06  0.472    392   0.23  16.058   3.745  7.90   -69.8   136.5   6.8   1.6    13.2
10/05/19 11:05:31 16.07  0.472    392   0.23  16.053   3.734  7.92   -70.6   130.1   7.9   1.9    13.2
10/05/19 11:35:31 16.08  0.472    392   0.23  16.047   3.722  7.92   -70.7   130.1   6.2   1.5    13.2
10/05/19 12:05:31 16.08  0.472    392   0.23  16.042   3.710  7.90   -69.6   136.3   7.1   1.7    13.2
10/05/19 12:35:31 16.17  0.472    393   0.23  16.038   3.700  7.92   -70.6   136.2   6.0   1.4    13.3
10/05/19 13:05:31 16.23  0.472    393   0.23  16.029   3.680  7.94   -71.9   130.1  10.9   2.6    13.2
10/05/19 13:35:31 16.43  0.472    395   0.23  16.021   3.660  7.95   -72.2   136.3   8.6   2.0    13.2
10/05/19 14:05:31 16.44  0.472    395   0.23  16.014   3.645  7.97   -73.3   134.5  10.3   2.4    13.2
10/05/19 14:35:31 16.51  0.472    395   0.23  16.007   3.629  7.97   -73.4   135.8  11.7   2.8    13.2
10/05/19 15:05:31 16.53  0.472    395   0.23  15.998   3.607  7.99   -74.2   128.8   9.3   2.2    13.2
10/05/19 15:35:31 16.48  0.472    395   0.23  15.990   3.588  7.97   -73.2   134.9   8.1   1.9    13.2
10/05/19 16:05:31 16.58  0.472    396   0.23  15.988   3.584  7.99   -74.6   128.8   9.6   2.3    13.2
10/05/19 16:35:31 16.56  0.472    396   0.23  15.982   3.571  7.98   -73.7   135.9   9.9   2.3    13.2
10/05/19 17:05:31 16.49  0.472    395   0.23  15.977   3.558  7.98   -73.9   135.5   6.6   1.6    13.2
10/05/19 17:35:31 16.54  0.471    395   0.23  15.976   3.557  8.02   -75.8   128.2   8.6   2.0    13.2
10/05/19 18:05:31 16.44  0.471    394   0.23  15.975   3.554  7.99   -74.4   134.8   8.1   1.9    13.2
10/05/19 18:35:31 16.43  0.471    394   0.23  15.975   3.554  8.00   -75.0   134.8   7.7   1.8    13.2
10/05/19 19:05:31 16.35  0.472    394   0.23  15.973   3.549  8.01   -75.4   128.1   9.8   2.3    13.1
10/05/19 19:35:31 16.30  0.471    393   0.23  15.972   3.547  7.99   -74.2   135.1   8.0   1.9    13.2
10/05/19 20:05:31 16.24  0.471    392   0.23  15.967   3.535  7.99   -74.3   134.2   9.8   2.3    13.2
10/05/19 20:35:31 16.20  0.471    392   0.23  15.964   3.528  7.98   -73.9   135.9  10.0   2.4    13.2
10/05/19 21:05:31 16.13  0.471    391   0.23  15.966   3.534  7.98   -73.9   135.1   7.0   1.7    13.1
10/05/19 21:35:31 16.11  0.471    391   0.23  15.966   3.534  7.97   -73.5   136.2   7.8   1.9    13.1
10/05/19 22:05:31 16.09  0.471    391   0.23  15.964   3.528  7.98   -73.7   134.9   8.4   2.0    13.2
10/05/19 22:35:31 16.07  0.471    391   0.23  15.959   3.516  7.96   -72.9   135.6   6.7   1.6    13.2
10/05/19 23:05:31 16.03  0.472    391   0.23  15.953   3.503  7.96   -72.8   135.8   7.5   1.8    13.2
10/05/19 23:35:31 15.98  0.472    390   0.23  15.953   3.504  7.95   -72.3   137.1   6.4   1.5    13.2
10/06/19 00:05:31 15.95  0.472    390   0.23  15.953   3.502  7.95   -72.3   135.7   7.4   1.8    13.2
10/06/19 00:35:31 15.89  0.472    390   0.23  15.951   3.499  7.93   -71.2   136.4   6.4   1.5    13.2
10/06/19 01:05:31 15.84  0.472    389   0.23  15.948   3.492  7.93   -71.2   130.6   4.1   1.0    13.2
10/06/19 01:35:31 15.81  0.472    389   0.23  15.949   3.494  7.93   -71.2   130.8   6.5   1.5    13.2
10/06/19 02:05:31 15.77  0.472    389   0.23  15.948   3.492  7.91   -70.2   137.7   6.0   1.4    13.2
10/06/19 02:35:31 15.74  0.472    388   0.23  15.950   3.495  7.93   -71.1   137.7   6.7   1.6    13.2
10/06/19 03:05:31 15.71  0.472    388   0.23  15.945   3.484  7.94   -71.8   136.5   9.6   2.3    13.2
10/06/19 03:35:31 15.70  0.472    388   0.23  15.939   3.470  7.94   -71.7   136.7   7.7   1.8    13.2
10/06/19 04:05:31 15.66  0.472    388   0.23  15.937   3.466  7.93   -71.4   137.6  10.2   2.4    13.2
10/06/19 04:35:31 15.62  0.472    387   0.23  15.932   3.453  7.93   -71.0   137.8   8.4   2.0    13.2
10/06/19 05:05:31 15.58  0.472    387   0.23  15.926   3.440  7.92   -70.7   138.0   5.3   1.3    13.2
10/06/19 05:35:31 15.57  0.472    387   0.23  15.921   3.429  7.91   -70.2   137.6   5.1   1.2    13.2
10/06/19 06:05:31 15.52  0.472    387   0.23  15.922   3.432  7.92   -70.7   136.6   7.1   1.7    13.2
10/06/19 06:35:31 15.52  0.472    386   0.23  15.920   3.426  7.92   -70.4   138.0   6.3   1.5    13.2
10/06/19 07:05:31 15.50  0.472    386   0.23  15.918   3.421  7.92   -70.4   137.0   6.4   1.5    13.2
10/06/19 07:35:31 15.49  0.472    386   0.23  15.922   3.432  7.92   -70.4   138.2   6.7   1.6    13.2
10/06/19 08:05:31 15.50  0.472    386   0.23  15.930   3.449  7.92   -70.6   136.1   7.6   1.8    13.2
